district,state,year,quarter,registered_users,app_openings
coimbatore district,tamil-nadu,2019,3,669547,9707815
virudhunagar district,tamil-nadu,2019,3,118223,1273205
dindigul district,tamil-nadu,2019,3,151511,1791979
sivaganga district,tamil-nadu,2019,3,79695,896599
tenkasi district,tamil-nadu,2019,3,68561,651705
chengalpattu district,tamil-nadu,2019,3,744424,18193512
kanniyakumari district,tamil-nadu,2019,3,125378,1266941
tirunelveli district,tamil-nadu,2019,3,117255,1175307
thiruvallur district,tamil-nadu,2019,3,828137,13735986
theni district,tamil-nadu,2019,3,82211,845240
ranipet district,tamil-nadu,2019,3,123211,1585562
namakkal district,tamil-nadu,2019,3,148504,1602205
vellore district,tamil-nadu,2019,3,171770,2853368
thiruvarur district,tamil-nadu,2019,3,55010,563206
tiruchirappalli district,tamil-nadu,2019,4,299366,4026588
ramanathapuram district,tamil-nadu,2019,4,80027,961831
krishnagiri district,tamil-nadu,2019,4,335178,5693842
cuddalore district,tamil-nadu,2019,4,216583,2459744
kancheepuram district,tamil-nadu,2019,4,564806,11050988
tiruppur district,tamil-nadu,2019,4,427694,6111411
dharmapuri district,tamil-nadu,2019,4,171677,2525020
thoothukkudi district,tamil-nadu,2019,4,131336,1491277
thanjavur district,tamil-nadu,2019,4,181672,2336862
madurai district,tamil-nadu,2019,4,351234,4634811
tiruvannamalai district,tamil-nadu,2019,4,202112,2639455
salem district,tamil-nadu,2019,4,390301,4975680
nagapattinam district,tamil-nadu,2019,4,87998,989769
tirupathur district,tamil-nadu,2019,4,129026,1825987
ariyalur district,tamil-nadu,2019,4,52294,617517
chennai district,tamil-nadu,2019,4,1216610,22828193
the nilgiris district,tamil-nadu,2019,4,69335,970095
erode district,tamil-nadu,2019,4,242324,2893474
karur district,tamil-nadu,2019,4,89726,1036381
kallakkurichi district,tamil-nadu,2019,4,118948,1382861
viluppuram district,tamil-nadu,2019,4,157860,2142547
pudukkottai district,tamil-nadu,2019,4,89251,1061296
perambalur district,tamil-nadu,2019,4,43804,494635
coimbatore district,tamil-nadu,2019,4,767480,12267898
virudhunagar district,tamil-nadu,2019,4,136782,1588707
dindigul district,tamil-nadu,2019,4,177010,2388757
sivaganga district,tamil-nadu,2019,4,92648,1107528
tenkasi district,tamil-nadu,2019,4,79619,824540
chengalpattu district,tamil-nadu,2019,4,829575,22382821
kanniyakumari district,tamil-nadu,2019,4,147268,1703596
tirunelveli district,tamil-nadu,2019,4,136178,1506103
thiruvallur district,tamil-nadu,2019,4,934744,16550582
theni district,tamil-nadu,2019,4,96179,1142433
ranipet district,tamil-nadu,2019,4,141642,2023415
namakkal district,tamil-nadu,2019,4,169515,1979201
vellore district,tamil-nadu,2019,4,198172,3676316
thiruvarur district,tamil-nadu,2019,4,64519,719556
tiruchirappalli district,tamil-nadu,2021,1,527667,8836445
ramanathapuram district,tamil-nadu,2021,1,158933,2470213
krishnagiri district,tamil-nadu,2021,1,592655,18257136
cuddalore district,tamil-nadu,2021,1,401780,6718405
kancheepuram district,tamil-nadu,2021,1,895950,22914978
tiruppur district,tamil-nadu,2021,1,772074,15416834
dharmapuri district,tamil-nadu,2021,1,306834,7786122
thoothukkudi district,tamil-nadu,2021,1,249036,3774093
thanjavur district,tamil-nadu,2021,1,340874,5383102
madurai district,tamil-nadu,2021,1,630685,10792871
tiruvannamalai district,tamil-nadu,2021,1,369304,7105656
salem district,tamil-nadu,2021,1,693137,13212180
nagapattinam district,tamil-nadu,2021,1,172162,2709896
tirupathur district,tamil-nadu,2021,1,242300,5673187
ariyalur district,tamil-nadu,2021,1,101107,1628883
chennai district,tamil-nadu,2021,1,1865001,44025572
the nilgiris district,tamil-nadu,2021,1,132909,2667830
erode district,tamil-nadu,2021,1,449675,7891302
