district,state,year,quarter,registered_users,app_openings
sangareddy district,telangana,2022,4,1159594,87156905
wanaparthy district,telangana,2022,4,214000,16391933
vikarabad district,telangana,2022,4,339772,29400033
jagtial district,telangana,2022,4,416065,33144670
yadadri bhuvanagiri district,telangana,2022,4,401963,39445615
medak district,telangana,2022,4,291807,25833641
mahbubnagar district,telangana,2022,4,437901,36385513
jaya shankar bhalupally district,telangana,2022,4,181521,13309373
warangal urban district,telangana,2022,4,923715,54185496
rangareddy district,telangana,2022,4,4296707,284957579
hyderabad district,telangana,2022,4,4962214,248166634
suryapet district,telangana,2022,4,490568,35754743
jogulamba gadwal district,telangana,2022,4,232376,14372667
kamareddy district,telangana,2022,4,366726,29482223
mulugu district,telangana,2022,4,110228,8903451
medchal malkajgiri district,telangana,2022,4,3628619,224766696
karimnagar district,telangana,2022,4,687385,50465466
mancherial district,telangana,2022,4,433627,34541874
siddipet district,telangana,2022,4,525155,47803119
khammam district,telangana,2022,4,755705,45973189
narayanpet district,telangana,2023,1,172242,29775037
nalgonda district,telangana,2023,1,830827,87778412
jangaon district,telangana,2023,1,280580,34755100
bhadradri kothagudem district,telangana,2023,1,567571,61557092
warangal rural district,telangana,2023,1,315944,20175108
kumuram bheem asifabad district,telangana,2023,1,156343,28022663
nizamabad district,telangana,2023,1,761985,48549263
adilabad district,telangana,2023,1,222025,34654415
rajanna sircilla district,telangana,2023,1,271074,25603157
nagarkurnool district,telangana,2023,1,394485,61891346
peddapalle district,telangana,2023,1,478118,26406282
nirmal district,telangana,2023,1,257611,42217573
mahabubabad district,telangana,2023,1,314702,30185194
sangareddy district,telangana,2023,1,1212607,63878054
wanaparthy district,telangana,2023,1,223966,24336032
vikarabad district,telangana,2023,1,355447,44979668
jagtial district,telangana,2023,1,434964,32529442
yadadri bhuvanagiri district,telangana,2023,1,420473,46489173
medak district,telangana,2023,1,305395,33658982
mahbubnagar district,telangana,2023,1,457781,39744744
jaya shankar bhalupally district,telangana,2023,1,190125,21663861
warangal urban district,telangana,2023,1,964802,20931489
rangareddy district,telangana,2023,1,4483193,92873530
hyderabad district,telangana,2023,1,5176899,32078250
suryapet district,telangana,2023,1,513436,35148085
jogulamba gadwal district,telangana,2023,1,243224,26336319
kamareddy district,telangana,2023,1,383869,37096127
mulugu district,telangana,2023,1,115471,26284682
medchal malkajgiri district,telangana,2023,1,3787461,32008875
karimnagar district,telangana,2023,1,718193,31218292
mancherial district,telangana,2023,1,453837,37525510
siddipet district,telangana,2023,1,549109,52595211
khammam district,telangana,2023,1,790500,42709479
narayanpet district,telangana,2023,2,180034,33793433
nalgonda district,telangana,2023,2,866073,92209472
jangaon district,telangana,2023,2,292576,35498127
bhadradri kothagudem district,telangana,2023,2,591314,62303617
warangal rural district,telangana,2023,2,329591,16089510
kumuram bheem asifabad district,telangana,2023,2,163594,32340407
nizamabad district,telangana,2023,2,792269,47495828
adilabad district,telangana,2023,2,231540,38271203
rajanna sircilla district,telangana,2023,2,282212,29218839
nagarkurnool district,telangana,2023,2,411916,60814557
peddapalle district,telangana,2023,2,497196,22043050
nirmal district,telangana,2023,2,268713,45573879
mahabubabad district,telangana,2023,2,328573,37299839
sangareddy district,telangana,2023,2,1259927,66957103
wanaparthy district,telangana,2023,2,233420,23320465
vikarabad district,telangana,2023,2,371036,49974170
jagtial district,telangana,2023,2,452611,31035990
yadadri bhuvanagiri district,telangana,2023,2,437832,51701471
medak district,telangana,2023,2,318640,34550951
mahbubnagar district,telangana,2023,2,476238,35405628
jaya shankar bhalupally district,telangana,2023,2,198478,18487524
warangal urban district,telangana,2023,2,1000275,16914280
rangareddy district,telangana,2023,2,4638501,93950553
hyderabad district,telangana,2023,2,5349842,32043529
suryapet district,telangana,2023,2,535263,42234557
jogulamba gadwal district,telangana,2023,2,254242,30288514
kamareddy district,telangana,2023,2,400349,40870161
mulugu district,telangana,2023,2,120696,27982347
medchal malkajgiri district,telangana,2023,2,3918732,31036917
karimnagar district,telangana,2023,2,745882,28502618
mancherial district,telangana,2023,2,472302,36719981
siddipet district,telangana,2023,2,571790,48364283
khammam district,telangana,2023,2,822976,46674989
narayanpet district,telangana,2019,1,40074,0
nalgonda district,telangana,2019,1,211184,0
jangaon district,telangana,2019,1,75697,0
bhadradri kothagudem district,telangana,2019,1,143331,0
warangal rural district,telangana,2019,1,86129,0
kumuram bheem asifabad district,telangana,2019,1,36654,0
nizamabad district,telangana,2019,1,186351,0
adilabad district,telangana,2019,1,52692,0
rajanna sircilla district,telangana,2019,1,74849,0
nagarkurnool district,telangana,2019,1,93752,0
peddapalle district,telangana,2019,1,146982,0
nirmal district,telangana,2019,1,62468,0
mahabubabad district,telangana,2019,1,80528,0
sangareddy district,telangana,2019,1,346529,0
wanaparthy district,telangana,2019,1,56006,0
vikarabad district,telangana,2019,1,82823,0
jagtial district,telangana,2019,1,114424,0
yadadri bhuvanagiri district,telangana,2019,1,112847,0
medak district,telangana,2019,1,79145,0
mahbubnagar district,telangana,2019,1,117364,0
jaya shankar bhalupally district,telangana,2019,1,52428,0
warangal urban district,telangana,2019,1,301881,0
rangareddy district,telangana,2019,1,1470874,0
hyderabad district,telangana,2019,1,1638436,0
suryapet district,telangana,2019,1,131272,0
jogulamba gadwal district,telangana,2019,1,57206,0
kamareddy district,telangana,2019,1,96369,0
mulugu district,telangana,2019,1,27532,0
medchal malkajgiri district,telangana,2019,1,1279531,0
karimnagar district,telangana,2019,1,218609,0
mancherial district,telangana,2019,1,131128,0
siddipet district,telangana,2019,1,152281,0
khammam district,telangana,2019,1,206049,0
narayanpet district,telangana,2019,2,46909,341227
nalgonda district,telangana,2019,2,243227,1776843
jangaon district,telangana,2019,2,87261,760266
bhadradri kothagudem district,telangana,2019,2,166124,1213631
warangal rural district,telangana,2019,2,99395,904458
kumuram bheem asifabad district,telangana,2019,2,42328,270599
nizamabad district,telangana,2019,2,217841,1405542
adilabad district,telangana,2019,2,60912,354686
rajanna sircilla district,telangana,2019,2,85094,563030
nagarkurnool district,telangana,2019,2,110443,861099
peddapalle district,telangana,2019,2,164429,1242370
nirmal district,telangana,2019,2,72367,438946
mahabubabad district,telangana,2019,2,93293,769780
sangareddy district,telangana,2019,2,395371,3054588
wanaparthy district,telangana,2019,2,65235,513463
vikarabad district,telangana,2019,2,97441,677070
jagtial district,telangana,2019,2,130387,736541
yadadri bhuvanagiri district,telangana,2019,2,130181,1091523
medak district,telangana,2019,2,91570,733529
mahbubnagar district,telangana,2019,2,135546,956919
jaya shankar bhalupally district,telangana,2019,2,60052,551657
warangal urban district,telangana,2019,2,342602,3114627
rangareddy district,telangana,2019,2,1651300,16960204
hyderabad district,telangana,2019,2,1856926,18761439
suryapet district,telangana,2019,2,151114,1016067
jogulamba gadwal district,telangana,2019,2,66672,464175
kamareddy district,telangana,2019,2,111871,813768
mulugu district,telangana,2019,2,32156,238533
medchal malkajgiri district,telangana,2019,2,1428880,14391832
karimnagar district,telangana,2019,2,246886,1738874
mancherial district,telangana,2019,2,147346,1028634
siddipet district,telangana,2019,2,175413,1382293
khammam district,telangana,2019,2,239435,1714089
narayanpet district,telangana,2019,3,53512,1197912
nalgonda district,telangana,2019,3,274568,6355907
jangaon district,telangana,2019,3,97865,2765744
bhadradri kothagudem district,telangana,2019,3,187580,4480623
warangal rural district,telangana,2019,3,111605,3335073
kumuram bheem asifabad district,telangana,2019,3,47616,1004225
nizamabad district,telangana,2019,3,248977,5147161
adilabad district,telangana,2019,3,68686,1258579
rajanna sircilla district,telangana,2019,3,95396,2042927
nagarkurnool district,telangana,2019,3,126599,3246839
peddapalle district,telangana,2019,3,181084,4336697
nirmal district,telangana,2019,3,81523,1704014
mahabubabad district,telangana,2019,3,105126,2713299
sangareddy district,telangana,2019,3,441944,11628139
wanaparthy district,telangana,2019,3,73946,1764728
vikarabad district,telangana,2019,3,111704,2460013
jagtial district,telangana,2019,3,146602,2633368
yadadri bhuvanagiri district,telangana,2019,3,145955,4028135
medak district,telangana,2019,3,103294,2565238
mahbubnagar district,telangana,2019,3,154856,3665547
jaya shankar bhalupally district,telangana,2019,3,67145,1929596
warangal urban district,telangana,2019,3,381730,12813746
rangareddy district,telangana,2019,3,1826019,70341936
hyderabad district,telangana,2019,3,2071673,75481306
suryapet district,telangana,2019,3,169675,3495231
jogulamba gadwal district,telangana,2019,3,76012,1761344
kamareddy district,telangana,2019,3,126537,2894450
mulugu district,telangana,2019,3,36280,828445
medchal malkajgiri district,telangana,2019,3,1572320,58565898
karimnagar district,telangana,2019,3,274735,6721567
mancherial district,telangana,2019,3,163495,3693261
siddipet district,telangana,2019,3,196397,4923150
khammam district,telangana,2019,3,270101,6340413
narayanpet district,telangana,2019,4,61454,1618535
nalgonda district,telangana,2019,4,312849,8760787
jangaon district,telangana,2019,4,110428,3786800
bhadradri kothagudem district,telangana,2019,4,213581,6171238
warangal rural district,telangana,2019,4,125617,4529368
kumuram bheem asifabad district,telangana,2019,4,54853,1432235
nizamabad district,telangana,2019,4,284623,6845278
adilabad district,telangana,2019,4,79186,1785113
rajanna sircilla district,telangana,2019,4,107765,2701141
nagarkurnool district,telangana,2019,4,145325,4346133
peddapalle district,telangana,2019,4,200718,6004999
nirmal district,telangana,2019,4,93465,2258373
mahabubabad district,telangana,2019,4,119715,3769189
sangareddy district,telangana,2019,4,493353,14866325
wanaparthy district,telangana,2019,4,84527,2388548
vikarabad district,telangana,2019,4,128847,3284134
jagtial district,telangana,2019,4,166146,3606907
yadadri bhuvanagiri district,telangana,2019,4,165781,5553803
medak district,telangana,2019,4,117616,3422288
mahbubnagar district,telangana,2019,4,176619,4932462
jaya shankar bhalupally district,telangana,2019,4,75975,2670332
warangal urban district,telangana,2019,4,421970,16643573
rangareddy district,telangana,2019,4,2001437,86195067
hyderabad district,telangana,2019,4,2283903,89267033
suryapet district,telangana,2019,4,192063,4802963
jogulamba gadwal district,telangana,2019,4,87093,2348593
kamareddy district,telangana,2019,4,144240,3966417
mulugu district,telangana,2019,4,41655,1205094
medchal malkajgiri district,telangana,2019,4,1714832,71137535
karimnagar district,telangana,2019,4,305507,8865029
mancherial district,telangana,2019,4,183580,5275385
siddipet district,telangana,2019,4,221164,6426620
khammam district,telangana,2019,4,304804,8371747
narayanpet district,telangana,2021,1,106583,4879296
nalgonda district,telangana,2021,1,517727,27638199
jangaon district,telangana,2021,1,175735,10737744
bhadradri kothagudem district,telangana,2021,1,354847,19161712
warangal rural district,telangana,2021,1,197677,11246867
kumuram bheem asifabad district,telangana,2021,1,96381,4981178
nizamabad district,telangana,2021,1,485751,21011313
adilabad district,telangana,2021,1,138946,6058994
rajanna sircilla district,telangana,2021,1,172651,7870680
nagarkurnool district,telangana,2021,1,245417,14130703
peddapalle district,telangana,2021,1,302119,17000004
nirmal district,telangana,2021,1,161330,6825009
mahabubabad district,telangana,2021,1,195493,10915276
sangareddy district,telangana,2021,1,767476,40044462
wanaparthy district,telangana,2021,1,140134,7311810
vikarabad district,telangana,2021,1,222697,10478282
jagtial district,telangana,2021,1,276806,11635474
yadadri bhuvanagiri district,telangana,2021,1,263598,15881813
medak district,telangana,2021,1,190586,9500652
mahbubnagar district,telangana,2021,1,290086,14780834
jaya shankar bhalupally district,telangana,2021,1,118229,7311296
warangal urban district,telangana,2021,1,620947,35661562
rangareddy district,telangana,2021,1,2906635,164961999
hyderabad district,telangana,2021,1,3379663,171306090
suryapet district,telangana,2021,1,320013,16329250
jogulamba gadwal district,telangana,2021,1,150765,6985199
kamareddy district,telangana,2021,1,240460,11023229
mulugu district,telangana,2021,1,71073,4160226
medchal malkajgiri district,telangana,2021,1,2450573,146584671
karimnagar district,telangana,2021,1,459407,23293364
mancherial district,telangana,2021,1,285446,16741307
siddipet district,telangana,2021,1,346000,18464802
khammam district,telangana,2021,1,497818,25126745
narayanpet district,telangana,2021,2,114463,10568396
nalgonda district,telangana,2021,2,555043,43957369
jangaon district,telangana,2021,2,188184,17884084
bhadradri kothagudem district,telangana,2021,2,380059,26785841
warangal rural district,telangana,2021,2,211532,14875784
kumuram bheem asifabad district,telangana,2021,2,103556,9718979
nizamabad district,telangana,2021,2,518801,27507980
adilabad district,telangana,2021,2,148869,10445610
rajanna sircilla district,telangana,2021,2,184273,10932369
nagarkurnool district,telangana,2021,2,263411,26796756
peddapalle district,telangana,2021,2,322666,19550159
nirmal district,telangana,2021,2,172714,12440675
mahabubabad district,telangana,2021,2,209567,16994546
sangareddy district,telangana,2021,2,820387,40510366
wanaparthy district,telangana,2021,2,150138,12327128
vikarabad district,telangana,2021,2,238633,18596926
jagtial district,telangana,2021,2,295472,16125474
yadadri bhuvanagiri district,telangana,2021,2,282382,22992550
medak district,telangana,2021,2,204292,14977139
mahbubnagar district,telangana,2021,2,310193,18571180
jaya shankar bhalupally district,telangana,2021,2,126605,11889883
warangal urban district,telangana,2021,2,661592,27667829
rangareddy district,telangana,2021,2,3097973,114677944
hyderabad district,telangana,2021,2,3598337,103186542
suryapet district,telangana,2021,2,342919,23148345
jogulamba gadwal district,telangana,2021,2,161753,11573190
kamareddy district,telangana,2021,2,257384,18349435
mulugu district,telangana,2021,2,76355,8730473
medchal malkajgiri district,telangana,2021,2,2611159,94016405
karimnagar district,telangana,2021,2,490218,23072270
mancherial district,telangana,2021,2,305137,21806217
siddipet district,telangana,2021,2,370224,24952714
khammam district,telangana,2021,2,532589,29687134
narayanpet district,telangana,2021,3,123698,12600713
nalgonda district,telangana,2021,3,598288,49183567
jangaon district,telangana,2021,3,202760,19954357
bhadradri kothagudem district,telangana,2021,3,409224,32652497
warangal rural district,telangana,2021,3,227582,16044231
kumuram bheem asifabad district,telangana,2021,3,112005,12374636
nizamabad district,telangana,2021,3,556044,30872892
adilabad district,telangana,2021,3,160401,13550832
rajanna sircilla district,telangana,2021,3,197653,12946883
nagarkurnool district,telangana,2021,3,284427,32443551
peddapalle district,telangana,2021,3,346172,22273221
nirmal district,telangana,2021,3,186080,14516617
mahabubabad district,telangana,2021,3,225821,18716303
sangareddy district,telangana,2021,3,880907,48000652
wanaparthy district,telangana,2021,3,161625,13973770
vikarabad district,telangana,2021,3,257234,21915189
jagtial district,telangana,2021,3,316708,18647662
yadadri bhuvanagiri district,telangana,2021,3,303988,27134768
medak district,telangana,2021,3,220085,16585388
mahbubnagar district,telangana,2021,3,332912,22433630
jaya shankar bhalupally district,telangana,2021,3,136483,13403776
warangal urban district,telangana,2021,3,707591,34485735
rangareddy district,telangana,2021,3,3310906,152255269
hyderabad district,telangana,2021,3,3839513,138904779
suryapet district,telangana,2021,3,369487,26206177
jogulamba gadwal district,telangana,2021,3,174716,15082826
kamareddy district,telangana,2021,3,276848,20064605
mulugu district,telangana,2021,3,82466,10704784
medchal malkajgiri district,telangana,2021,3,2790387,122352691
karimnagar district,telangana,2021,3,524929,27893947
mancherial district,telangana,2021,3,327681,25861713
siddipet district,telangana,2021,3,398010,28683328
khammam district,telangana,2021,3,572647,34808208
narayanpet district,telangana,2021,4,132812,9885605
nalgonda district,telangana,2021,4,641044,49387802
jangaon district,telangana,2021,4,216959,19454795
bhadradri kothagudem district,telangana,2021,4,438017,31523917
warangal rural district,telangana,2021,4,243471,18842708
kumuram bheem asifabad district,telangana,2021,4,120270,9921783
nizamabad district,telangana,2021,4,593223,43139132
adilabad district,telangana,2021,4,171840,11973849
rajanna sircilla district,telangana,2021,4,210757,15899445
nagarkurnool district,telangana,2021,4,304863,25806289
peddapalle district,telangana,2021,4,369792,28436891
nirmal district,telangana,2021,4,199256,15126416
mahabubabad district,telangana,2021,4,242028,17962206
sangareddy district,telangana,2021,4,940845,65270943
wanaparthy district,telangana,2021,4,173070,13082876
vikarabad district,telangana,2021,4,275384,21678658
jagtial district,telangana,2021,4,337979,23826683
yadadri bhuvanagiri district,telangana,2021,4,325245,29576100
medak district,telangana,2021,4,235661,18654116
mahbubnagar district,telangana,2021,4,355529,27383427
jaya shankar bhalupally district,telangana,2021,4,146183,11945405
warangal urban district,telangana,2021,4,753613,50362105
rangareddy district,telangana,2021,4,3523496,223574100
hyderabad district,telangana,2021,4,4081185,216036952
suryapet district,telangana,2021,4,395614,29089685
jogulamba gadwal district,telangana,2021,4,187444,12596236
kamareddy district,telangana,2021,4,296281,22680871
mulugu district,telangana,2021,4,88544,7330070
medchal malkajgiri district,telangana,2021,4,2969740,193566420
karimnagar district,telangana,2021,4,559456,39304222
mancherial district,telangana,2021,4,350142,29531278
siddipet district,telangana,2021,4,425592,35107007
khammam district,telangana,2021,4,612314,39641400
narayanpet district,telangana,2020,1,69951,2186909
nalgonda district,telangana,2020,1,351793,11703188
jangaon district,telangana,2020,1,122645,4911939
bhadradri kothagudem district,telangana,2020,1,240218,7950598
warangal rural district,telangana,2020,1,138279,5651289
kumuram bheem asifabad district,telangana,2020,1,62210,1866471
nizamabad district,telangana,2020,1,320572,8519695
adilabad district,telangana,2020,1,90082,2265159
rajanna sircilla district,telangana,2020,1,119857,3358921
nagarkurnool district,telangana,2020,1,165017,6257385
peddapalle district,telangana,2020,1,219359,7505646
nirmal district,telangana,2020,1,105257,2811442
mahabubabad district,telangana,2020,1,133329,4878564
sangareddy district,telangana,2020,1,542540,17730360
wanaparthy district,telangana,2020,1,95305,3260565
vikarabad district,telangana,2020,1,146927,4501087
jagtial district,telangana,2020,1,186557,4571872
yadadri bhuvanagiri district,telangana,2020,1,184218,7042753
medak district,telangana,2020,1,131276,4325061
mahbubnagar district,telangana,2020,1,198442,6473191
jaya shankar bhalupally district,telangana,2020,1,83741,3416159
warangal urban district,telangana,2020,1,457591,18169055
rangareddy district,telangana,2020,1,2166829,92956758
hyderabad district,telangana,2020,1,2483843,94202316
suryapet district,telangana,2020,1,215377,6397940
jogulamba gadwal district,telangana,2020,1,98743,3023309
kamareddy district,telangana,2020,1,162054,4963635
mulugu district,telangana,2020,1,47202,1912194
medchal malkajgiri district,telangana,2020,1,1845599,76127707
karimnagar district,telangana,2020,1,334300,10431331
mancherial district,telangana,2020,1,201832,6523023
siddipet district,telangana,2020,1,245168,8153463
khammam district,telangana,2020,1,340747,10674831
narayanpet district,telangana,2020,2,79975,2974720
nalgonda district,telangana,2020,2,393199,14312604
jangaon district,telangana,2020,2,135637,6127838
bhadradri kothagudem district,telangana,2020,2,269053,9040151
warangal rural district,telangana,2020,2,152409,7087689
kumuram bheem asifabad district,telangana,2020,2,70431,2213551
nizamabad district,telangana,2020,2,362663,9986332
adilabad district,telangana,2020,2,102358,2617153
rajanna sircilla district,telangana,2020,2,131832,3715018
nagarkurnool district,telangana,2020,2,185422,8108321
peddapalle district,telangana,2020,2,238823,8306455
nirmal district,telangana,2020,2,119692,3263795
mahabubabad district,telangana,2020,2,148880,6393465
sangareddy district,telangana,2020,2,593360,16942095
wanaparthy district,telangana,2020,2,106739,4127393
vikarabad district,telangana,2020,2,167218,5623203
jagtial district,telangana,2020,2,208759,5423820
yadadri bhuvanagiri district,telangana,2020,2,202936,7381812
medak district,telangana,2020,2,145635,4919329
mahbubnagar district,telangana,2020,2,220639,6873172
jaya shankar bhalupally district,telangana,2020,2,91966,3983691
warangal urban district,telangana,2020,2,495066,15269694
rangareddy district,telangana,2020,2,2313748,52633672
hyderabad district,telangana,2020,2,2653534,50253743
suryapet district,telangana,2020,2,242820,8146908
jogulamba gadwal district,telangana,2020,2,112769,3716099
kamareddy district,telangana,2020,2,182240,6089670
mulugu district,telangana,2020,2,53156,2087930
medchal malkajgiri district,telangana,2020,2,1963353,50404417
karimnagar district,telangana,2020,2,362986,10218611
mancherial district,telangana,2020,2,221435,7442038
siddipet district,telangana,2020,2,269076,9050527
khammam district,telangana,2020,2,380382,12395589
narayanpet district,telangana,2020,3,88897,3444383
nalgonda district,telangana,2020,3,435022,18261971
jangaon district,telangana,2020,3,148978,7332319
bhadradri kothagudem district,telangana,2020,3,297785,12289002
warangal rural district,telangana,2020,3,168438,8501734
kumuram bheem asifabad district,telangana,2020,3,79379,2953601
nizamabad district,telangana,2020,3,405678,13663242
adilabad district,telangana,2020,3,114763,3495961
rajanna sircilla district,telangana,2020,3,145258,4948986
nagarkurnool district,telangana,2020,3,205810,9825044
peddapalle district,telangana,2020,3,259183,11171940
nirmal district,telangana,2020,3,134124,4435475
mahabubabad district,telangana,2020,3,164800,7776597
sangareddy district,telangana,2020,3,649580,23488143
wanaparthy district,telangana,2020,3,117968,5003628
vikarabad district,telangana,2020,3,186369,6732351
jagtial district,telangana,2020,3,232101,7411018
yadadri bhuvanagiri district,telangana,2020,3,223066,9822913
medak district,telangana,2020,3,160492,5966321
mahbubnagar district,telangana,2020,3,243998,9270326
jaya shankar bhalupally district,telangana,2020,3,100886,5210450
warangal urban district,telangana,2020,3,535485,22283028
rangareddy district,telangana,2020,3,2495699,84072270
hyderabad district,telangana,2020,3,2875965,81783431
suryapet district,telangana,2020,3,269601,10631693
jogulamba gadwal district,telangana,2020,3,126584,5055006
kamareddy district,telangana,2020,3,201892,7423110
mulugu district,telangana,2020,3,59368,2688237
medchal malkajgiri district,telangana,2020,3,2111567,78894984
karimnagar district,telangana,2020,3,394328,14576555
mancherial district,telangana,2020,3,242301,10591575
siddipet district,telangana,2020,3,294416,11731189
khammam district,telangana,2020,3,421101,17045442
narayanpet district,telangana,2020,4,98243,4279253
nalgonda district,telangana,2020,4,478409,24303721
jangaon district,telangana,2020,4,162803,9424072
bhadradri kothagudem district,telangana,2020,4,328326,16865688
warangal rural district,telangana,2020,4,183786,10385430
kumuram bheem asifabad district,telangana,2020,4,88807,4105386
nizamabad district,telangana,2020,4,449731,18746196
adilabad district,telangana,2020,4,128184,5003861
rajanna sircilla district,telangana,2020,4,160123,6904037
nagarkurnool district,telangana,2020,4,226388,12171167
peddapalle district,telangana,2020,4,281140,15343725
nirmal district,telangana,2020,4,148827,5912155
mahabubabad district,telangana,2020,4,181203,9775880
sangareddy district,telangana,2020,4,711551,33690075
wanaparthy district,telangana,2020,4,129768,6497923
vikarabad district,telangana,2020,4,205866,8953295
jagtial district,telangana,2020,4,256382,10089257
yadadri bhuvanagiri district,telangana,2020,4,244210,13695103
medak district,telangana,2020,4,176543,8365745
mahbubnagar district,telangana,2020,4,268580,12656725
jaya shankar bhalupally district,telangana,2020,4,109685,6567074
warangal urban district,telangana,2020,4,579306,30652741
rangareddy district,telangana,2020,4,2704868,130198376
hyderabad district,telangana,2020,4,3142385,133815496
suryapet district,telangana,2020,4,296172,14190129
jogulamba gadwal district,telangana,2020,4,139726,6298254
kamareddy district,telangana,2020,4,222619,10099481
mulugu district,telangana,2020,4,65683,3531967
medchal malkajgiri district,telangana,2020,4,2282695,118770158
karimnagar district,telangana,2020,4,428019,20214083
mancherial district,telangana,2020,4,264886,14874505
siddipet district,telangana,2020,4,321082,15903514
khammam district,telangana,2020,4,461801,22329763
narayanpet district,telangana,2018,1,13945,0
nalgonda district,telangana,2018,1,84459,0
jangaon district,telangana,2018,1,30373,0
bhadradri kothagudem district,telangana,2018,1,57366,0
warangal rural district,telangana,2018,1,36701,0
kumuram bheem asifabad district,telangana,2018,1,13448,0
nizamabad district,telangana,2018,1,77516,0
adilabad district,telangana,2018,1,20180,0
rajanna sircilla district,telangana,2018,1,32891,0
nagarkurnool district,telangana,2018,1,32570,0
peddapalle district,telangana,2018,1,67418,0
nirmal district,telangana,2018,1,25519,0
mahabubabad district,telangana,2018,1,32847,0
sangareddy district,telangana,2018,1,142807,0
wanaparthy district,telangana,2018,1,20785,0
vikarabad district,telangana,2018,1,29719,0
jagtial district,telangana,2018,1,51382,0
yadadri bhuvanagiri district,telangana,2018,1,45267,0
medak district,telangana,2018,1,29694,0
mahbubnagar district,telangana,2018,1,45445,0
jaya shankar bhalupally district,telangana,2018,1,21824,0
warangal urban district,telangana,2018,1,133840,0
rangareddy district,telangana,2018,1,635175,0
hyderabad district,telangana,2018,1,655175,0
suryapet district,telangana,2018,1,52906,0
jogulamba gadwal district,telangana,2018,1,21686,0
kamareddy district,telangana,2018,1,38028,0
mulugu district,telangana,2018,1,10977,0
medchal malkajgiri district,telangana,2018,1,549429,0
karimnagar district,telangana,2018,1,100028,0
mancherial district,telangana,2018,1,59684,0
siddipet district,telangana,2018,1,61535,0
khammam district,telangana,2018,1,84941,0
narayanpet district,telangana,2018,2,19241,0
nalgonda district,telangana,2018,2,110668,0
jangaon district,telangana,2018,2,39257,0
bhadradri kothagudem district,telangana,2018,2,76720,0
warangal rural district,telangana,2018,2,47143,0
kumuram bheem asifabad district,telangana,2018,2,18419,0
nizamabad district,telangana,2018,2,100652,0
adilabad district,telangana,2018,2,27059,0
rajanna sircilla district,telangana,2018,2,41914,0
nagarkurnool district,telangana,2018,2,44394,0
peddapalle district,telangana,2018,2,86033,0
nirmal district,telangana,2018,2,33477,0
mahabubabad district,telangana,2018,2,42930,0
sangareddy district,telangana,2018,2,182673,0
wanaparthy district,telangana,2018,2,28072,0
vikarabad district,telangana,2018,2,39810,0
jagtial district,telangana,2018,2,64462,0
yadadri bhuvanagiri district,telangana,2018,2,58409,0
medak district,telangana,2018,2,38843,0
mahbubnagar district,telangana,2018,2,60718,0
jaya shankar bhalupally district,telangana,2018,2,28820,0
warangal urban district,telangana,2018,2,171260,0
rangareddy district,telangana,2018,2,804959,0
hyderabad district,telangana,2018,2,842483,0
suryapet district,telangana,2018,2,69474,0
jogulamba gadwal district,telangana,2018,2,28719,0
kamareddy district,telangana,2018,2,49421,0
mulugu district,telangana,2018,2,14542,0
medchal malkajgiri district,telangana,2018,2,696211,0
karimnagar district,telangana,2018,2,126122,0
mancherial district,telangana,2018,2,76358,0
siddipet district,telangana,2018,2,79491,0
khammam district,telangana,2018,2,111361,0
narayanpet district,telangana,2018,3,24511,0
nalgonda district,telangana,2018,3,134723,0
jangaon district,telangana,2018,3,47948,0
bhadradri kothagudem district,telangana,2018,3,94215,0
warangal rural district,telangana,2018,3,57086,0
kumuram bheem asifabad district,telangana,2018,3,23354,0
nizamabad district,telangana,2018,3,120650,0
adilabad district,telangana,2018,3,33800,0
rajanna sircilla district,telangana,2018,3,50080,0
nagarkurnool district,telangana,2018,3,56759,0
peddapalle district,telangana,2018,3,102365,0
nirmal district,telangana,2018,3,41370,0
mahabubabad district,telangana,2018,3,52527,0
sangareddy district,telangana,2018,3,220802,0
wanaparthy district,telangana,2018,3,35054,0
vikarabad district,telangana,2018,3,50915,0
jagtial district,telangana,2018,3,76056,0
yadadri bhuvanagiri district,telangana,2018,3,71205,0
medak district,telangana,2018,3,48256,0
mahbubnagar district,telangana,2018,3,74581,0
jaya shankar bhalupally district,telangana,2018,3,35388,0
warangal urban district,telangana,2018,3,199919,0
rangareddy district,telangana,2018,3,963186,0
hyderabad district,telangana,2018,3,1024241,0
suryapet district,telangana,2018,3,85201,0
jogulamba gadwal district,telangana,2018,3,35851,0
kamareddy district,telangana,2018,3,61083,0
mulugu district,telangana,2018,3,17937,0
medchal malkajgiri district,telangana,2018,3,828425,0
karimnagar district,telangana,2018,3,148562,0
mancherial district,telangana,2018,3,90605,0
siddipet district,telangana,2018,3,96493,0
khammam district,telangana,2018,3,135353,0
narayanpet district,telangana,2018,4,31824,0
nalgonda district,telangana,2018,4,171002,0
jangaon district,telangana,2018,4,61250,0
bhadradri kothagudem district,telangana,2018,4,117947,0
warangal rural district,telangana,2018,4,71132,0
kumuram bheem asifabad district,telangana,2018,4,29816,0
nizamabad district,telangana,2018,4,150190,0
adilabad district,telangana,2018,4,43214,0
rajanna sircilla district,telangana,2018,4,61982,0
nagarkurnool district,telangana,2018,4,74363,0
peddapalle district,telangana,2018,4,124191,0
nirmal district,telangana,2018,4,51412,0
mahabubabad district,telangana,2018,4,65709,0
sangareddy district,telangana,2018,4,281038,0
wanaparthy district,telangana,2018,4,44681,0
vikarabad district,telangana,2018,4,65959,0
